Relative Path,File Type,File Size,In Xcode Project,Target Membership,Build Phase,Static Ref Count,Dynamic Risk,Classification,Confidence
Pure Pets/BirdsCards/PPMainCells/PPCageCell.m,source,25855,Yes,Pure Pets,Sources,8,No,,
Pure Pets/BirdsCards/PPMainCells/PPChildCell.h,source,1055,Yes,,,84,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/PPMainCells/PPChildCell.m,source,10657,Yes,Pure Pets,Sources,5,No,,
Pure Pets/BirdsCards/PPMainCells/SalesCell.h,source,1547,Yes,,,319,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/PPMainCells/SalesCell.m,source,12791,Yes,Pure Pets,Sources,6,No,,
Pure Pets/BirdsCards/PPMainCells/TrashCollectionViewCell.h,source,698,Yes,,,41,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/PPMainCells/TrashCollectionViewCell.m,source,7866,Yes,Pure Pets,Sources,6,No,,
Pure Pets/BirdsCards/SalesVCViewController.h,source,598,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/SalesVCViewController.m,source,19066,Yes,Pure Pets,Sources,0,Yes,MANUAL REVIEW REQUIRED,Low
Pure Pets/BirdsCards/buyerDataVC.h,source,662,Yes,,,3,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/buyerDataVC.m,source,53240,Yes,Pure Pets,Sources,3,No,,
Pure Pets/BirdsCards/selectTableViewController.h,source,852,Yes,,,11,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/selectTableViewController.m,source,7728,Yes,Pure Pets,Sources,7,Yes,,
Pure Pets/BirdsCards/viewDataVC.h,source,959,Yes,,,14,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/viewDataVC.m,source,46901,Yes,Pure Pets,Sources,14,Yes,,
Pure Pets/Bridges/HXPHPickerBridge/PPEditorBridge.swift,source,12719,Yes,Pure Pets,Sources,4,Yes,,
Pure Pets/Bridges/HXPHPickerBridge/PPPhotoBrowserBridge.swift,source,4519,Yes,Pure Pets,Sources,4,Yes,,
Pure Pets/Bridges/HXPHPickerBridge/PPPickerBridge.swift,source,17781,Yes,Pure Pets,Sources,7,Yes,,
Pure Pets/Bridges/PPCoreBridge.swift,source,1219,Yes,Pure Pets,Sources,4,Yes,,
Pure Pets/Bridges/PPUniversalCellViewModelAdapter.swift,source,1117,No,,,0,No,,
Pure Pets/Bridges/UnifiedBlurHash/Math.swift,source,985,Yes,Pure Pets,Sources,18,No,,
Pure Pets/Bridges/UnifiedBlurHash/PPBlurHashBridge.swift,source,3301,Yes,Pure Pets,Sources,22,Yes,,
Pure Pets/Bridges/UnifiedBlurHash/PPBlurHashGenerator.swift,source,2092,Yes,Pure Pets,Sources,8,Yes,,
Pure Pets/Bridges/UnifiedBlurHash/Resources/sunflower.jpg,resource,49712,Yes,Pure Pets,Resources,0,No,MANUAL REVIEW REQUIRED,Low
Pure Pets/Bridges/UnifiedBlurHash/SwiftUI.Image+BlurHash.swift,source,1868,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/Bridges/UnifiedBlurHash/UnifiedBlurHash.swift,source,2234,Yes,Pure Pets,Sources,3926,No,,
Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Decode.swift,source,5629,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Encode.swift,source,6629,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage+Scale.swift,source,2536,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/Bridges/UnifiedBlurHash/UnifiedImage.swift,source,1105,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/DataClasses/BasicDataClassess/CountryCodeModel.h,source,548,Yes,,,123,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/CountryCodeModel.m,source,2624,Yes,Pure Pets,Sources,123,No,,
Pure Pets/DataClasses/BasicDataClassess/ItemModel.h,source,415,Yes,,,3,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/ItemModel.m,source,297,Yes,Pure Pets,Sources,3,No,,
Pure Pets/DataClasses/BasicDataClassess/MainKindsArrayManager.h,source,1885,Yes,,,261,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/MainKindsArrayManager.m,source,30721,Yes,Pure Pets,Sources,4,No,,
Pure Pets/DataClasses/BasicDataClassess/MainKindsModel.h,source,3064,Yes,,,257,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/MainKindsModel.m,source,18179,Yes,Pure Pets,Sources,257,No,,
Pure Pets/DataClasses/BasicDataClassess/MainKindsModel.m.bak.20260412-013337,other,12466,No,,,0,No,REPOSITORY HYGIENE,High
Pure Pets/DataClasses/BasicDataClassess/SubKindModel.h,source,1837,Yes,,,115,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/SubKindModel.m,source,11611,Yes,Pure Pets,Sources,115,No,,
Pure Pets/DataClasses/BasicDataClassess/subKindItemsModel.h,source,711,Yes,,,46,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/subKindItemsModel.m,source,1620,Yes,Pure Pets,Sources,46,No,,
Pure Pets/DataClasses/BasicDataClassess/subSubKindModel.h,source,882,Yes,,,20,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BasicDataClassess/subSubKindModel.m,source,2592,Yes,Pure Pets,Sources,20,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchiveDetailsModel.h,source,858,Yes,,,39,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchiveDetailsModel.m,source,3048,Yes,Pure Pets,Sources,39,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchiveModel.h,source,4861,Yes,,,234,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchiveModel.m,source,2555,Yes,Pure Pets,Sources,65,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchivesManager.h,source,3489,Yes,,,118,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ArchivesManager.m,source,20147,Yes,Pure Pets,Sources,14,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/BuyerModel.h,source,2219,Yes,,,125,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/BuyerModel.m,source,13068,Yes,Pure Pets,Sources,51,Yes,,
Pure Pets/DataClasses/BirdsCardsDataClassess/CageModel.h,source,3894,Yes,,,382,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/CageModel.m,source,3971,Yes,Pure Pets,Sources,76,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/CardModel.h,source,5083,Yes,,,254,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/CardModel.m,source,31157,Yes,Pure Pets,Sources,8788,Yes,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ChildModel.h,source,1867,Yes,,,77,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ChildModel.m,source,3920,Yes,Pure Pets,Sources,77,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ChildsDataManager.h,source,2211,Yes,,,95,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ChildsDataManager.m,source,6098,Yes,Pure Pets,Sources,18,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/FileModel.h,source,705,Yes,,,28,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/FileModel.m,source,1191,Yes,Pure Pets,Sources,28,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ImageModel.h,source,679,Yes,,,15,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ImageModel.m,source,3300,Yes,Pure Pets,Sources,15,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/PPReminderNotificationManager.h,source,1086,Yes,,,34,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/PPReminderNotificationManager.m,source,7236,Yes,Pure Pets,Sources,6,No,,
Pure Pets/DataClasses/BirdsCardsDataClassess/ReminderManager.h,source,260,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/BirdsCardsDataClassess/ReminderManager.m,source,3120,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/DataClasses/ClassesHeader.h,source,360,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/HelperClassess/BarcodeGenerator.h,source,312,Yes,,,3,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/HelperClassess/BarcodeGenerator.m,source,2260,Yes,Pure Pets,Sources,3,No,,
Pure Pets/DataClasses/HelperClassess/FileUploadManager.h,source,425,Yes,,,7,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/HelperClassess/FileUploadManager.m,source,9749,Yes,Pure Pets,Sources,7,No,,
Pure Pets/DataClasses/HelperClassess/PPAuditLogger.h,source,349,Yes,,,8,No,PROTECTED OR REQUIRED,Protected
Pure Pets/DataClasses/HelperClassess/PPAuditLogger.m,source,1179,Yes,Pure Pets,Sources,8,No,,
